W;"JA57
 STANDARD";"JA57K
 STANDARD";"JA57KI
 STANDARD";"JA57K x S77N
 STORICO";"JA57KI x CY
 STORICO";"JA87
 STANDARD";JA87 ;"RANGER
 STANDARD";"RANGER x CNB
 STORICO";"GOLDEN
 STANDARD";"GOLDEN
 STORICO";;;
25;74,29%;75,00%;75,00%;87,31%;76,40%;75,00%;;50,30%;38,94%;92,70%;72,66%;;SELEZIONA;JA87 - STANDARD
26;85,71%;86,00%;86,00%;91,98%;75,61%;86,50%;;73,60%;50,78%;93,20%;84,01%;;;
27;91,43%;91,50%;91,50%;89,16%;79,06%;88,50%;;81,80%;63,34%;93,20%;86,28%;;NUM GALLINE;3.500
28;91,43%;92,50%;92,50%;87,55%;79,37%;89,00%;;85,50%;73,46%;93,20%;87,51%;;;
29;91,43%;92,50%;92,50%;87,89%;78,65%;89,50%;;86,20%;77,63%;93,20%;89,07%;;W;UOVA SETTIMANALI
30;91,43%;92,30%;92,30%;84,60%;76,68%;90,00%;;86,30%;79,19%;93,20%;91,12%;;25;18.400
31;90,00%;91,80%;91,70%;84,95%;77,10%;90,00%;;85,60%;79,36%;93,20%;87,85%;;26;21.200
32;90,00%;91,30%;91,10%;86,76%;69,37%;89,50%;;84,90%;80,83%;93,20%;88,01%;;27;21.700
33;90,00%;90,80%;90,50%;85,80%;83,82%;88,80%;;84,10%;81,37%;93,20%;90,94%;;28;21.800
34;88,57%;90,30%;89,90%;85,73%;79,70%;88,00%;;83,40%;80,19%;93,20%;89,74%;;29;21.900
35;88,57%;89,80%;89,30%;83,48%;81,24%;87,20%;;82,70%;80,32%;93,20%;90,97%;;30;22.100
36;87,14%;89,30%;88,60%;82,92%;79,33%;85,60%;;81,90%;79,38%;93,00%;91,03%;;31;22.100
37;87,14%;88,80%;87,90%;81,76%;79,87%;85,40%;;81,20%;79,16%;92,80%;89,76%;;32;21.900
38;85,71%;88,30%;87,10%;84,48%;82,05%;84,00%;;80,40%;78,52%;92,60%;91,05%;;33;21.800
39;85,71%;87,80%;86,30%;82,08%;84,71%;83,10%;;79,70%;76,64%;92,40%;91,03%;;34;21.600
40;84,29%;87,30%;85,50%;80,38%;82,55%;82,10%;;78,90%;75,76%;92,10%;91,60%;;35;21.400
41;84,29%;86,70%;84,70%;78,42%;84,84%;81,20%;;78,10%;73,85%;91,80%;90,75%;;36;21.000
42;82,86%;86,10%;83,90%;80,43%;80,82%;80,20%;;77,40%;73,27%;91,50%;90,79%;;37;20.900
43;82,86%;85,50%;83,10%;71,35%;85,54%;79,30%;;76,60%;73,38%;91,20%;89,63%;;38;20.600
44;81,43%;84,90%;82,30%;58,47%;85,54%;78,30%;;75,80%;72,15%;90,90%;88,87%;;39;20.400
45;81,43%;84,30%;81,50%;67,08%;87,58%;77,40%;;75,10%;71,76%;90,60%;89,46%;;40;20.100
46;80,00%;83,70%;80,70%;68,43%;85,07%;76,40%;;74,30%;71,36%;90,30%;88,94%;;41;19.900
47;80,00%;83,10%;79,90%;64,35%;86,16%;75,50%;;73,50%;70,49%;90,00%;87,54%;;42;19.600
48;78,57%;82,50%;79,10%;64,40%;85,24%;74,50%;;72,70%;71,03%;89,70%;87,38%;;43;19.400
49;78,57%;81,90%;78,30%;73,20%;72,05%;73,60%;;71,90%;69,40%;89,30%;88,68%;;44;19.200
50;77,14%;81,30%;77,50%;74,03%;74,85%;72,60%;;71,20%;67,93%;88,90%;86,78%;;45;19.000
51;75,71%;80,60%;76,70%;74,27%;77,51%;71,10%;;70,40%;67,83%;88,50%;86,27%;;46;18.700
52;75,71%;79,90%;75,90%;75,08%;75,33%;70,70%;;69,60%;66,81%;88,10%;86,79%;;47;18.500
53;74,29%;79,20%;75,10%;73,72%;75,53%;69,80%;;68,80%;65,35%;87,70%;86,22%;;48;18.300
54;74,29%;78,50%;74,30%;71,55%;56,28%;68,80%;;68,00%;65,51%;87,20%;86,00%;;49;18.000
55;72,86%;77,80%;73,50%;72,79%;57,29%;67,90%;;67,20%;63,94%;86,70%;85,73%;;50;17.800
56;72,86%;77,10%;72,70%;72,26%;57,27%;66,90%;;66,30%;54,93%;86,20%;83,37%;;51;17.400
57;71,43%;76,40%;71,90%;72,46%;70,80%;66,00%;;65,50%;54,95%;85,70%;83,57%;;52;17.300
58;71,43%;75,70%;71,10%;70,23%;70,02%;65,00%;;64,70%;53,49%;85,20%;82,62%;;53;17.100
59;70,00%;75,00%;70,30%;70,16%;55,36%;64,10%;;63,90%;51,82%;84,70%;75,86%;;54;16.900
60;68,57%;74,30%;69,50%;70,94%;54,28%;63,10%;;63,10%;49,07%;84,20%;79,09%;;55;16.600
61;68,57%;73,60%;68,70%;69,68%;53,59%;62,10%;;62,20%;49,47%;83,70%;82,43%;;56;16.400
62;67,14%;72,90%;67,90%;70,01%;55,00%;61,20%;;61,40%;47,48%;83,20%;81,03%;;57;16.200
63;67,14%;72,20%;67,10%;69,90%;70,30%;60,20%;;;47,08%;82,70%;81,14%;;58;15.900
64;65,71%;71,50%;66,30%;67,45%;68,73%;59,30%;;;51,94%;82,20%;80,42%;;59;15.700
65;;62,00%;65,50%;65,50%;65,50%;58,30%;;;53,98%;81,70%;80,34%;;60;15.500
66;;63,03%;63,03%;;;59,60%;;;;81,10%;81,81%;;61;15.200
67;;;;;;58,80%;;;;80,50%;66,23%;;62;15.000
68;;;;;;58,00%;;;;79,90%;78,73%;;63;14.700
